FirstName,LastName,Canton,Avatar URL,PartyAbbreviation,Mandate Start,Council Abbreviation
Nadine,Masshardt,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3034.jpg,SP,2023-12-04T00:00:00,NR_CH
Nadine,Gobet,FR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10809.jpg,FDP,2023-12-04T00:00:00,NR_CH
Nadja,Umbricht Pieren,BE,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2781.jpg,SVP,2023-12-04T00:00:00,NR_CH
Nicolas,Kolly,FR,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10836.jpg,SVP,2023-12-04T00:00:00,NR_CH
Nicole,Barandun,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10818.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Nicolò,Paganini,SG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3123.jpg,Mitte,2025-09-16T00:00:00,NR_CH
Niklaus-Samuel,Gugger,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3115.jpg,EVP,2023-12-04T00:00:00,NR_CH
Nina,Schläfli,TG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10826.jpg,SP,2023-12-04T00:00:00,NR_CH
Nina,Fehr Düsel,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10833.jpg,SVP,2023-12-04T00:00:00,NR_CH
Olivier,Feller,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2789.jpg,FDP,2023-12-04T00:00:00,NR_CH
Paolo,Pamini,TI,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10842.jpg,SVP,2023-12-04T00:00:00,NR_CH
Pascal,Broulis,VD,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10805.jpg,FDP,2023-12-04T00:00:00,SR_CH
Pascal,Schmid,TG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/10843.jpg,SVP,2023-12-04T00:00:00,NR_CH
Patricia,von Falkenstein,BS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3219.jpg,LDP,2023-12-04T00:00:00,NR_CH
Patrick,Hässig,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/11507.jpg,GLP,2023-12-04T00:00:00,NR_CH
Peter,Schilliger,LU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3029.jpg,FDP,2023-12-04T00:00:00,NR_CH
Peter,Hegglin,ZG,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3053.jpg,Mitte,2023-12-04T00:00:00,SR_CH
Petra,Gössi,SZ,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3023.jpg,FDP,2023-12-04T00:00:00,SR_CH
Philipp,Kutter,ZH,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3126.jpg,Mitte,2023-12-04T00:00:00,NR_CH
Philipp Matthias,Bregy,VS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3131.jpg,Mitte,2025-09-16T00:00:00,NR_CH
Philippe,Nantermod,VS,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3088.jpg,FDP,2023-12-04T00:00:00,NR_CH
Piero,Marchesi,TI,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/3207.jpg,SVP,2023-12-04T00:00:00,NR_CH
Pierre-Alain,Fridez,JU,https://www.parlament.ch/sitecollectionimages/profil/portrait-260/2778.jpg,SP,2023-12-04T00:00:00,NR_CH
